platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-asmi-global-softwares-opc-pvt,Asmi Global Softwares (OPC) Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-asuun-wellness-pvt,Asuun Wellness Pvt. Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-athma-healthtech-pvt,Athma Healthtech Pvt Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-athma-healthtech-pvt,Athma Healthtech Pvt Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-auroitech-digital-solutions-foundation,Auroitech Digital Solutions Foundation,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-biosoft-health-tech-pvt,BIOSOFT HEALTH TECH PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-bs-infosystems-and-solutions-private,BS Infosystems And Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-bavya-health-services-private,Bavya Health Services Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-bharuwa-solutions-pvt,Bharuwa Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-byepo,Byepo Technologies,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-byepo,Byepo Technologies,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-c-u-shah-medical-college-hospital,C U Shah Medical College & Hospital,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-catalyst-software,CATALYST SOFTWARE,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-cdac-noida,CDAC Noida,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-chipsy-information-technology-services-private,CHIPSY INFORMATION TECHNOLOGY SERVICES PRIVATE LIMITED,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-chipsy-information-technology-services-private,CHIPSY INFORMATION TECHNOLOGY SERVICES PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-chipsy-information-technology-services-private,CHIPSY INFORMATION TECHNOLOGY SERVICES PRIVATE LIMITED,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-chipsy-information-technology-services-private,CHIPSY INFORMATION TECHNOLOGY SERVICES PRIVATE LIMITED,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-curebay-technologies-private,CUREBAY TECHNOLOGIES PRIVATE LIMITED,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
