platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-chola-ms-general-insurance-co,Chola MS General Insurance Co Ltd,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ihx-private,IHX Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-manipalcigna-health-insurance-company,ManipalCigna Health Insurance Company Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-manipalcigna-health-insurance-company,ManipalCigna Health Insurance Company Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medi-assist-insurance-tpa-pvt,Medi Assist Insurance TPA Pvt. Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-navi-general-insurance,Navi General Insurance Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-navi-general-insurance,Navi General Insurance Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-niva-bupa-health-insurance-company,Niva Bupa Health Insurance Company Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-niva-bupa-health-insurance-company,Niva Bupa Health Insurance Company Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-one-sg-technologies-pvt,One SG Technologies Pvt Ltd,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-one-sg-technologies-pvt,One SG Technologies Pvt Ltd,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-reliance-general-insurance-co,Reliance General Insurance Co. Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-star-health-and-allied-insurance-company,Star Health and Allied Insurance Company Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-star-health-and-allied-insurance-company,Star Health and Allied Insurance Company Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tecforz-innovations-pvt,Tecforz Innovations Pvt Ltd,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tecforz-innovations-pvt,Tecforz Innovations Pvt Ltd,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-united-india-insurance-company,United India Insurance Company,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-united-india-insurance-company,United India Insurance Company,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-universal-sompo-general-insurance-c,Universal Sompo General Insurance C,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-universal-sompo-general-insurance-c,Universal Sompo General Insurance C,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vesak-technologies-pvt,Vesak Technologies Pvt. Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vidal-health-insurance-tpa-private,Vidal Health Insurance TPA Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vitraya-technologies-private,Vitraya Technologies Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vitraya-technologies-private,Vitraya Technologies Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-volo-health-insurance-tpa-pvt,Volo Health Insurance TPA Pvt. Ltd.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-volo-health-insurance-tpa-pvt,Volo Health Insurance TPA Pvt. Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-akna-health-insurance-tpa-private,AKNA HEALTH INSURANCE TPA PRIVATE LIMITED,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-am-tree-healthwealth-innovations-private,AM-TREE HEALTHWEALTH INNOVATIONS PRIVATE LIMITED,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-apna-policy-insurance-brokers-pvt,Apna Policy Insurance Brokers Pvt. Ltd.,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-care-health-insurance,Care health insurance,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-cholamandalam-ms-general-insurance-company,Cholamandalam MS General Insurance company Ltd,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-genins-india-insurance-tpa,Genins India Insurance TPA Ltd.,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-go-digit-general-insurance,Go Digit General Insurance Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-hdfc-ergo-general-insurance-company,HDFC Ergo General Insurance Company Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-icici-lombard-general-insurance-company,ICICI Lombard General Insurance Company Ltd,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-icici-prudential-life-insurance-co,ICICI Prudential Life Insurance Co. Ltd.,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-kotak-mahindra-general-insurance-company,KOTAK MAHINDRA GENERAL INSURANCE COMPANY LIMITED,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-kotak-mahindra-life-insurance-company,Kotak Mahindra Life Insurance Company,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-liberty-general-insurance,Liberty General Insurance Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-link-k-insurance-tpa-private,Link-K Insurance TPA Private Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-m-s-galaxy-health-insurance-co,M/s. GALAXY HEALTH INSURANCE CO LTD.,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-mediprobe-consultancy-services-private,MEDIPROBE CONSULTANCY SERVICES PRIVATE LIMITED,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-insurance-company,NATIONAL INSURANCE COMPANY LIMITED,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-oriental-insurance-company,Oriental Insurance Company Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-paramount-health-services-insurance-tpa-pvt,PARAMOUNT HEALTH SERVICES & INSURANCE TPA PVT LTD,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-qbe-general-insurance-private,QBE General Insurance Private Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rajasthan-state-health-assurance-agency-rshaa,Rajasthan State Health Assurance Agency (RSHAA),Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rajiv-aarogyasri-health-care-trust,Rajiv Aarogyasri Health Care Trust,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-royal-sundaram-general-insurance-co,Royal Sundaram General Insurance Co. Ltd.,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tata-aia-life-insurance,TATA AIA Life Insurance,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tata-aig-general-insurance-co,TATA AIG General Insurance Co Ltd,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-universal-sompo-general-insurance-company,Universal Sompo General Insurance Company Ltd,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-zuno-general-insurance,Zuno General Insurance Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-arupavi-health-technologies-pvt,Arupavi Health Technologies Pvt Ltd,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-csquare-info-solutions,CSQUARE INFO SOLUTIONS LTD,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-davadost-pharma-pvt,Davadost Pharma PVT LTD,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-el-pharmacy,EL Pharmacy LLP,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-marg-erp,Marg ERP Limited,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-softworld-india-private,SOFTWORLD (INDIA) PRIVATE LIMITED,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-4p-healthcare-private,4P Healthcare Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-achala-health-services-private,Achala Health Services Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-alafied-solutions-private,Alafied Solutions Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-apex-kidney-care-pvt,Apex Kidney Care Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-artivatic-data-labs-pvt,Artivatic Data Labs Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-artivatic-data-labs-pvt,Artivatic Data Labs Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-athlex-innovations-pvt,Athlex Innovations Pvt. Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-beh-private,BEH Private Limited,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-beh-private,BEH Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-beh-private,BEH Private Limited,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-belfricsbt-pvt,Belfricsbt Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-caare-assisted-telemedicine,Caare Assisted Telemedicine,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-central-india-associates,Central India Associates,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-collateral-medical-pvt,Collateral Medical Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-curelink-private,Curelink Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-deeptek-medical-imaging-pvt,DeepTek Medical Imaging Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-digisparsh-pvt,Digisparsh Pvt Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-doconline-health-india-pvt,DocOnline Health India Pvt. Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-docsymedsy-healthtech-private,Docsymedsy Healthtech Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-doxper,Doxper,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-drome-services-private,Drome Services Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ev-software-solutions-pvt,EV Software Solutions PVT LTD,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-equal,Equal,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-farmako,FARMAKO,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healon-technologies-private,HealOn Technologies Private Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healspan,Healspan,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healthatm-india-private,HealthATM India Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-hitachi-mgrm-net,Hitachi MGRM Net,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-india-health-link-pvt,India Health Link Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-jio-health-hub,Jio Health Hub,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-karkinos-healthcare-private,Karkinos Healthcare Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-kokoro-bharat-health-and-wellness-pvt,Kokoro Bharat Health and Wellness pvt ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-letsdoc-healthcare-technologies-pvt,LetsDoc Healthcare Technologies Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-letsdoc-healthcare-technologies-pvt,LetsDoc Healthcare Technologies Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-livlong-protection-and-wellness-solutions,Livlong Protection and Wellness Solutions Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medical-network-private,MEDICAL NETWORK PRIVATE LIMITED,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-marsha-health,MarSha Health,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medblocks,Medblocks,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medibuddy,MediBuddy,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medsynapse-ris-pacs,Medsynapse RIS-PACS,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-meraadhikar,Meraadhikar,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-myclnq,MyCLNQ,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-mydigi-records,MyDigi Records,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nec-software-solution,NEC Software Solution,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-health-mission-tamil-nadu,National Health Mission - Tamil Nadu,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nephroplus,NephroPlus,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-neurobit-innovations-private,Neurobit Innovations Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-panscience-ai-healthcare-pvt,Panscience AI Healthcare Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-paperplane-whatsapp-clinic,Paperplane WhatsApp Clinic,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-purplebits-infosystems-pvt,Purplebits Infosystems Pvt. Ltd.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-qure-ai-technologies-private,QURE AI TECHNOLOGIES PRIVATE LIMITED,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-recodeai-digital-solutions-private,Recodeai Digital Solutions Private Limited.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-redkenko-health-tech-private,Redkenko Health Tech Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-renatus-meditech-solutions-pvt,Renatus Meditech Solutions Pvt. Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-roojh-india-pvt,Roojh India Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-roojh-india-pvt,Roojh India Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sehatpro-technologies-private,SEHATPRO TECHNOLOGIES PRIVATE LIMITED,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-telehealth-innovations-foundation,Telehealth Innovations Foundation,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-univlabs-technologies-pvt,UNIVLABS TECHNOLOGIES PVT LTD,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-verraton-health-private,Verraton Health Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-yorecare,Yorecare,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-argusoft-medplat,argusoft MEDplat,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-https-egov-org-in,https://egov.org.in/,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-amogh-nsmp-tech-private,AMOGH NSMP TECH PRIVATE LIMITED,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-adhyanshi-enterprises,Adhyanshi Enterprises,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-adhyanshi-enterprises,Adhyanshi Enterprises,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ambula-technologies-pvt,Ambula Technologies Pvt Ltd,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ambula-technologies-pvt,Ambula Technologies Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-anahat-solutions-pvt,Anahat Solutions Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-arogya-setu,Arogya Setu,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-health-and-medical-education-department-j-k,"Health and Medical Education Department, J&K",PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-livo-aarogyaaadhar-private,Livo AarogyaAadhar Private Limited,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-livo-aarogyaaadhar-private,Livo AarogyaAadhar Private Limited,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-mrg-blockchain-solutions-pvt,MRG Blockchain Solutions Pvt. Ltd.,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-panscience-ai-healthcare-private,PanScience AI Healthcare Private Limited,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-panscience-ai-healthcare-private,PanScience AI Healthcare Private Limited,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-paytm,Paytm,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-paytm,Paytm,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-plenome-technologies-private,Plenome Technologies Private Limited,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-prudas-technologies-pvt,Prudas Technologies Pvt Ltd,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-prudas-technologies-pvt,Prudas Technologies Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-remote-healthcare-technologies-pvt,Remote Healthcare Technologies Pvt. Ltd.,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-remote-healthcare-technologies-pvt,Remote Healthcare Technologies Pvt. Ltd.,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-remoteward-care-private,RemoteWard Care Private Limited,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healow-india-eclinicalworks,healow India (eClinicalWorks),Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healow-india-eclinicalworks,healow India (eClinicalWorks),PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-appex-tech-innovations-pvt,Appex Tech Innovations Pvt Ltd,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-digilocker,DIGILOCKER,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-driefcase,DRiefcase,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-docprime-technologies-private,DocPrime Technologies Private Limited,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-qure-ai,Qure.ai,Imaging AI,unknown,none-documented,ui-automation,P3,India
IN-birlamedisoft-quanta,Birlamedisoft Quanta,HMIS,unknown,none-documented,ui-automation,P3,India
IN-dedalus,Dedalus,HMIS,unknown,none-documented,ui-automation,P3,Italy/Global
IN-docengage,DocEngage,HMIS,unknown,none-documented,ui-automation,P3,India
IN-lifetrenz,Lifetrenz,HMIS,unknown,none-documented,ui-automation,P3,India
IN-medstar-his,Medstar HIS,HMIS,unknown,none-documented,ui-automation,P3,India
IN-palash-hmis,Palash HMIS,HMIS,unknown,none-documented,ui-automation,P3,India
IN-meditech-expanse,MEDITECH Expanse,EMR,unknown,none-documented,ui-automation,P3,USA/Global
IN-centricity-pacs,Centricity PACS,RIS/PACS,unknown,none-documented,ui-automation,P3,USA/Global
IN-dr-lal-pathlabs-lis,Dr Lal PathLabs LIS,LMIS,unknown,none-documented,ui-automation,P3,India
IN-intellispace-healthsuite-imaging,IntelliSpace / HealthSuite Imaging,RIS/PACS,unknown,none-documented,ui-automation,P3,NL/Global
IN-synapse-enterprise-imaging,Synapse / Enterprise Imaging,RIS/PACS,unknown,none-documented,ui-automation,P3,Japan/Global
IN-syngo-via,syngo.via,RIS/PACS,unknown,none-documented,ui-automation,P3,DE/Global
IN-5c-network,5C Network,Teleradiology/AI,unknown,none-documented,ui-automation,P3,India
IN-deeptek,DeepTek,Imaging AI,unknown,none-documented,ui-automation,P3,India
IN-synapsica,Synapsica,Imaging AI,unknown,none-documented,ui-automation,P3,India
